session	deer_id	occasion	trap.id
test	367	1	400
test	367	4	400
test	367	5	400
test	367	6	400
test	367	8	400
test	367	15	400
test	367	15	400
test	367	17	400
test	367	18	400
test	367	27	400
test	367	29	400
test	372	4	403
test	35	5	403
test	380	5	403
test	245	5	403
test	245	6	403
test	380	7	403
test	380	11	403
test	372	12	403
test	35	14	403
test	35	14	403
test	380	18	403
test	35	22	403
test	292	23	403
test	35	23	403
test	35	24	403
test	35	26	403
test	258	26	403
test	35	27	403
test	35	27	403
test	258	2	404
test	35	12	404
test	35	12	404
test	372	15	404
test	245	20	404
test	245	26	404
test	258	30	404
test	236	1	405
test	236	1	405
test	236	2	405
test	236	2	405
test	104	3	405
test	236	3	405
test	236	7	405
test	236	8	405
test	236	9	405
test	236	10	405
test	236	10	405
test	104	13	405
test	375	16	405
test	236	17	405
test	104	17	405
test	104	18	405
test	236	18	405
test	104	19	405
test	236	19	405
test	104	19	405
test	236	20	405
test	236	21	405
test	104	23	405
test	236	27	405
test	104	27	405
test	104	29	405
test	236	29	405
test	236	29	405
test	236	30	405
test	75	3	406
test	75	3	406
test	337	18	406
test	142	30	406
test	138	2	407
test	138	2	407
test	142	2	407
test	138	2	407
test	138	3	407
test	148	3	407
test	142	4	407
test	138	5	407
test	138	5	407
test	138	5	407
test	138	6	407
test	138	6	407
test	138	7	407
test	142	7	407
test	138	7	407
test	142	7	407
test	142	8	407
test	138	8	407
test	142	8	407
test	142	8	407
test	138	8	407
test	138	8	407
test	138	9	407
test	138	9	407
test	138	9	407
test	138	10	407
test	337	10	407
test	337	10	407
test	138	10	407
test	142	11	407
test	138	11	407
test	142	12	407
test	142	12	407
test	138	12	407
test	138	12	407
test	138	13	407
test	138	13	407
test	138	14	407
test	138	14	407
test	138	14	407
test	138	14	407
test	138	14	407
test	138	15	407
test	138	15	407
test	142	17	407
test	138	18	407
test	138	20	407
test	138	21	407
test	142	21	407
test	142	21	407
test	138	22	407
test	142	22	407
test	142	23	407
test	142	23	407
test	138	24	407
test	142	27	407
test	138	27	407
test	138	28	407
test	138	29	407
test	138	29	407
test	138	29	407
test	142	29	407
test	142	30	407
test	142	30	407
test	238	4	408
test	238	4	408
test	201	6	408
test	201	7	408
test	238	13	408
test	201	14	408
test	113	16	408
test	113	18	408
test	238	19	408
test	113	26	408
test	177	7	409
test	177	8	409
test	201	13	409
test	300	17	409
test	125	17	409
test	109	17	409
test	109	22	409
test	84	23	409
test	125	23	409
test	125	26	409
test	177	2	410
test	177	3	410
test	177	5	410
test	177	10	410
test	177	13	410
test	177	15	410
test	177	15	410
test	177	19	410
test	177	22	410
test	177	24	410
test	177	28	410
test	320	1	411
test	320	5	411
test	320	6	411
test	282	8	411
test	320	9	411
test	320	12	411
test	282	13	411
test	320	15	411
test	320	15	411
test	282	15	411
test	320	16	411
test	282	16	411
test	282	19	411
test	282	19	411
test	226	19	411
test	282	23	411
test	320	24	411
test	320	27	411
test	320	28	411
test	68	27	412
test	68	1	413
test	68	1	413
test	133	1	413
test	352	1	413
test	352	2	413
test	352	2	413
test	133	2	413
test	68	2	413
test	112	2	413
test	133	2	413
test	133	2	413
test	133	3	413
test	133	3	413
test	133	3	413
test	68	5	413
test	133	5	413
test	352	5	413
test	133	5	413
test	68	6	413
test	68	7	413
test	133	8	413
test	68	8	413
test	133	8	413
test	133	8	413
test	68	8	413
test	68	8	413
test	352	8	413
test	68	9	413
test	68	9	413
test	352	9	413
test	352	9	413
test	133	10	413
test	6	10	413
test	68	10	413
test	68	10	413
test	6	10	413
test	68	11	413
test	112	11	413
test	133	12	413
test	68	12	413
test	68	13	413
test	133	14	413
test	68	14	413
test	68	14	413
test	133	15	413
test	348	16	413
test	68	16	413
test	6	17	413
test	6	17	413
test	68	17	413
test	68	17	413
test	133	17	413
test	68	18	413
test	112	18	413
test	68	19	413
test	205	19	413
test	205	20	413
test	68	20	413
test	68	20	413
test	68	21	413
test	352	21	413
test	6	21	413
test	112	22	413
test	133	22	413
test	133	22	413
test	322	22	413
test	352	22	413
test	133	23	413
test	68	23	413
test	352	23	413
test	6	23	413
test	133	23	413
test	68	24	413
test	68	26	413
test	352	26	413
test	133	28	413
test	133	28	413
test	133	29	413
test	6	29	413
test	68	29	413
test	133	29	413
test	6	29	413
test	68	29	413
test	68	29	413
test	68	30	413
test	68	30	413
test	348	6	414
test	348	6	414
test	348	6	414
test	6	8	414
test	348	11	414
test	348	18	414
test	6	20	414
test	6	20	414
test	348	22	414
test	6	27	414
test	331	4	415
test	92	18	415
test	331	27	415
test	273	29	415
test	92	6	416
test	331	8	416
test	92	9	416
test	182	10	416
test	92	12	416
test	92	13	416
test	92	17	416
test	92	17	416
test	273	20	416
test	273	20	416
test	182	23	416
test	106	4	417
test	190	6	417
test	190	6	417
test	190	8	417
test	190	11	417
test	190	17	417
test	190	24	417
test	106	26	417
test	190	27	417
test	190	29	417
test	190	29	417
test	195	18	418
test	195	24	418
test	195	25	418
test	327	2	419
test	327	3	419
test	327	6	419
test	327	6	419
test	122	8	419
test	327	9	419
test	327	12	419
test	122	16	419
test	171	18	419
test	171	19	419
test	171	19	419
test	327	24	419
test	122	24	419
test	327	25	419
test	327	27	419
test	327	30	419
test	122	3	420
test	122	6	420
test	171	6	420
test	171	7	420
test	122	15	420
test	171	20	420
test	171	23	420
test	15	28	420
test	122	29	420
test	171	30	420
test	327	30	420
test	48	2	421
test	397	5	421
test	233	9	421
test	18	10	421
test	365	12	421
test	358	15	421
test	18	17	421
test	360	19	421
test	18	21	421
test	18	21	421
test	18	21	421
test	18	21	421
test	15	23	421
test	15	24	421
test	365	25	421
test	15	25	421
test	15	25	421
test	365	26	421
test	18	29	421
test	365	1	422
test	365	1	422
test	103	6	422
test	103	6	422
test	315	8	422
test	49	9	422
test	255	11	422
test	312	12	422
test	49	12	422
test	312	13	422
test	48	15	422
test	293	16	422
test	312	20	422
test	312	20	422
test	312	20	422
test	365	25	422
test	312	28	422
test	312	29	422
test	312	11	423
test	315	12	423
test	103	14	423
test	5	14	423
test	103	20	423
test	312	21	423
test	293	21	423
test	103	23	423
test	72	1	424
test	25	3	424
test	25	3	424
test	136	5	424
test	136	5	424
test	72	5	424
test	72	6	424
test	126	6	424
test	72	8	424
test	107	9	424
test	39	10	424
test	72	10	424
test	25	10	424
test	25	10	424
test	72	13	424
test	72	13	424
test	72	14	424
test	126	14	424
test	126	14	424
test	72	14	424
test	126	14	424
test	72	15	424
test	72	17	424
test	72	17	424
test	72	18	424
test	72	18	424
test	136	18	424
test	25	19	424
test	120	20	424
test	25	22	424
test	120	24	424
test	371	24	424
test	371	25	424
test	72	25	424
test	72	26	424
test	174	26	424
test	72	27	424
test	72	27	424
test	72	28	424
test	25	28	424
test	72	30	424
test	107	1	425
test	107	3	425
test	72	3	425
test	39	3	425
test	39	4	425
test	126	4	425
test	107	4	425
test	107	5	425
test	107	5	425
test	107	5	425
test	107	5	425
test	126	6	425
test	126	8	425
test	107	8	425
test	107	10	425
test	126	12	425
test	107	12	425
test	107	12	425
test	107	13	425
test	107	13	425
test	107	13	425
test	107	14	425
test	107	14	425
test	39	15	425
test	107	15	425
test	107	15	425
test	107	16	425
test	107	16	425
test	126	17	425
test	107	17	425
test	107	18	425
test	107	19	425
test	107	20	425
test	174	21	425
test	107	21	425
test	107	23	425
test	126	25	425
test	107	26	425
test	107	26	425
test	107	27	425
test	107	29	425
test	107	29	425
test	107	30	425
test	110	2	426
test	110	12	426
test	110	24	426
test	96	1	427
test	243	2	427
test	243	2	427
test	96	2	427
test	243	4	427
test	302	4	427
test	360	6	427
test	139	9	427
test	302	10	427
test	391	11	427
test	391	12	427
test	96	12	427
test	360	13	427
test	391	14	427
test	302	15	427
test	302	15	427
test	391	15	427
test	391	15	427
test	391	16	427
test	391	17	427
test	243	19	427
test	244	20	427
test	244	20	427
test	244	21	427
test	391	22	427
test	391	24	427
test	243	25	427
test	243	26	427
test	139	26	427
test	243	27	427
test	391	27	427
test	302	29	427
test	243	1	428
test	244	2	428
test	244	4	428
test	244	5	428
test	243	8	428
test	54	15	428
test	54	15	428
test	244	16	428
test	243	18	428
test	391	22	428
test	139	28	428
test	243	28	428
test	118	1	429
test	172	1	429
test	172	1	429
test	172	3	429
test	172	4	429
test	213	4	429
test	381	6	429
test	172	6	429
test	213	9	429
test	213	10	429
test	172	10	429
test	381	10	429
test	172	10	429
test	118	14	429
test	172	16	429
test	172	17	429
test	213	17	429
test	213	17	429
test	54	18	429
test	59	20	429
test	213	20	429
test	213	20	429
test	0	23	429
test	172	23	429
test	213	24	429
test	59	25	429
test	59	25	429
test	54	26	429
test	11	27	429
test	172	30	429
test	370	1	430
test	370	1	430
test	370	1	430
test	370	3	430
test	370	5	430
test	370	6	430
test	370	7	430
test	221	7	430
test	370	8	430
test	221	8	430
test	221	8	430
test	370	9	430
test	370	9	430
test	221	10	430
test	370	10	430
test	370	10	430
test	370	11	430
test	370	11	430
test	370	13	430
test	221	13	430
test	370	13	430
test	370	13	430
test	221	14	430
test	221	15	430
test	221	15	430
test	221	15	430
test	370	15	430
test	199	16	430
test	370	16	430
test	221	16	430
test	221	18	430
test	370	18	430
test	221	19	430
test	370	20	430
test	370	20	430
test	69	20	430
test	370	22	430
test	221	23	430
test	370	24	430
test	370	26	430
test	370	26	430
test	370	27	430
test	199	27	430
test	370	27	430
test	69	28	430
test	199	30	430
test	69	2	431
test	298	3	431
test	111	3	431
test	111	3	431
test	69	4	431
test	199	8	431
test	79	8	431
test	79	9	431
test	69	10	431
test	69	10	431
test	69	10	431
test	69	10	431
test	298	11	431
test	298	14	431
test	79	15	431
test	79	16	431
test	69	17	431
test	69	18	431
test	79	18	431
test	298	19	431
test	274	20	431
test	221	20	431
test	79	24	431
test	69	24	431
test	298	24	431
test	69	24	431
test	111	26	431
test	69	27	431
test	69	27	431
test	111	28	431
test	69	28	431
test	298	29	431
test	111	21	432
test	111	21	432
test	111	25	432
test	111	25	432
test	379	4	433
test	379	7	433
test	379	7	433
test	134	16	433
test	53	18	433
test	53	20	433
test	379	22	433
test	134	30	433
test	53	30	433
test	134	1	434
test	134	1	434
test	134	3	434
test	307	4	434
test	379	5	434
test	134	6	434
test	134	6	434
test	93	7	434
test	93	7	434
test	134	7	434
test	134	8	434
test	134	8	434
test	134	10	434
test	250	10	434
test	134	12	434
test	250	12	434
test	307	13	434
test	134	13	434
test	134	14	434
test	134	15	434
test	134	15	434
test	134	15	434
test	134	16	434
test	134	16	434
test	307	16	434
test	134	16	434
test	134	17	434
test	134	18	434
test	134	19	434
test	93	19	434
test	134	19	434
test	134	20	434
test	134	20	434
test	93	20	434
test	134	21	434
test	134	22	434
test	134	22	434
test	134	22	434
test	379	23	434
test	134	24	434
test	134	25	434
test	134	26	434
test	134	26	434
test	134	27	434
test	134	28	434
test	134	28	434
test	134	28	434
test	307	29	434
test	134	29	434
test	134	30	434
test	36	2	435
test	250	5	435
test	250	8	435
test	250	9	435
test	98	9	435
test	36	10	435
test	36	10	435
test	36	10	435
test	267	10	435
test	250	11	435
test	98	12	435
test	36	12	435
test	250	13	435
test	98	13	435
test	36	17	435
test	250	19	435
test	250	19	435
test	36	20	435
test	250	21	435
test	98	21	435
test	36	21	435
test	250	23	435
test	250	24	435
test	250	24	435
test	36	25	435
test	36	26	435
test	267	26	435
test	250	26	435
test	267	26	435
test	98	27	435
test	36	27	435
test	267	27	435
test	267	28	435
test	36	29	435
test	250	30	435
